idx,sen,sur,case,gap,per,comp,order.gap,order.comp
1,It was [MASK] that she wanted.,10.646385,ACC,obj,1st-plr,that,1,1
2,It was [MASK] that she valued.,13.2144375,ACC,obj,1st-plr,that,1,1
3,It was [MASK] that she trusted.,11.899187,ACC,obj,1st-plr,that,1,1
4,It was [MASK] that she told.,9.413892,ACC,obj,1st-plr,that,1,1
5,It was [MASK] that she taught.,8.684893,ACC,obj,1st-plr,that,1,1
6,It was [MASK] that she stroke.,13.442484,ACC,obj,1st-plr,that,1,1
7,It was [MASK] that she sent.,9.303399,ACC,obj,1st-plr,that,1,1
8,It was [MASK] that she saw.,10.757692,ACC,obj,1st-plr,that,1,1
9,It was [MASK] that she respected.,11.411529,ACC,obj,1st-plr,that,1,1
10,It was [MASK] that she pushed.,11.16426,ACC,obj,1st-plr,that,1,1
11,It was [MASK] that she pulled.,10.515941,ACC,obj,1st-plr,that,1,1
12,It was [MASK] that she pressed.,13.434797,ACC,obj,1st-plr,that,1,1
13,It was [MASK] that she praised.,9.9014225,ACC,obj,1st-plr,that,1,1
14,It was [MASK] that she painted.,8.253448,ACC,obj,1st-plr,that,1,1
15,It was [MASK] that she noticed.,13.038389,ACC,obj,1st-plr,that,1,1
16,It was [MASK] that she needed.,11.412467,ACC,obj,1st-plr,that,1,1
17,It was [MASK] that she missed.,11.809684,ACC,obj,1st-plr,that,1,1
18,It was [MASK] that she loves.,7.0606203,ACC,obj,1st-plr,that,1,1
19,It was [MASK] that she likes.,9.10011,ACC,obj,1st-plr,that,1,1
20,It was [MASK] that she injured.,10.217843,ACC,obj,1st-plr,that,1,1
21,It was [MASK] that she hurt.,13.400665,ACC,obj,1st-plr,that,1,1
22,It was [MASK] that she hit.,8.565784,ACC,obj,1st-plr,that,1,1
23,It was [MASK] that she heard.,12.131666,ACC,obj,1st-plr,that,1,1
24,It was [MASK] that she hates.,7.0990043,ACC,obj,1st-plr,that,1,1
25,It was [MASK] that she greeted.,8.697861,ACC,obj,1st-plr,that,1,1
26,It was [MASK] that she found.,11.187616,ACC,obj,1st-plr,that,1,1
27,It was [MASK] that she feared.,11.1602745,ACC,obj,1st-plr,that,1,1
28,It was [MASK] that she drew.,10.249722,ACC,obj,1st-plr,that,1,1
29,It was [MASK] that she called.,13.9101515,ACC,obj,1st-plr,that,1,1
30,It was [MASK] that she avoided.,11.63286,ACC,obj,1st-plr,that,1,1
31,It was [MASK] that she advised.,8.81151,ACC,obj,1st-plr,that,1,1
32,It was [MASK] that she admired.,12.576469,ACC,obj,1st-plr,that,1,1
33,It is [MASK] that she wanted.,7.9290643,ACC,obj,1st-plr,that,1,1
34,It is [MASK] that she valued.,9.472766,ACC,obj,1st-plr,that,1,1
35,It is [MASK] that she trusted.,7.9453845,ACC,obj,1st-plr,that,1,1
36,It is [MASK] that she told.,8.867554,ACC,obj,1st-plr,that,1,1
37,It is [MASK] that she taught.,7.638094,ACC,obj,1st-plr,that,1,1
38,It is [MASK] that she stroke.,11.697267,ACC,obj,1st-plr,that,1,1
39,It is [MASK] that she sent.,6.977671,ACC,obj,1st-plr,that,1,1
40,It is [MASK] that she saw.,8.666332,ACC,obj,1st-plr,that,1,1
41,It is [MASK] that she respected.,8.289633,ACC,obj,1st-plr,that,1,1
42,It is [MASK] that she pushed.,9.8310175,ACC,obj,1st-plr,that,1,1
43,It is [MASK] that she pulled.,9.317778,ACC,obj,1st-plr,that,1,1
44,It is [MASK] that she pressed.,12.09975,ACC,obj,1st-plr,that,1,1
45,It is [MASK] that she praised.,9.154148,ACC,obj,1st-plr,that,1,1
46,It is [MASK] that she painted.,9.316274,ACC,obj,1st-plr,that,1,1
47,It is [MASK] that she noticed.,13.799293,ACC,obj,1st-plr,that,1,1
48,It is [MASK] that she needed.,8.430188,ACC,obj,1st-plr,that,1,1
49,It is [MASK] that she missed.,9.909613,ACC,obj,1st-plr,that,1,1
50,It is [MASK] that she loves.,7.6916113,ACC,obj,1st-plr,that,1,1
51,It is [MASK] that she likes.,9.982228,ACC,obj,1st-plr,that,1,1
52,It is [MASK] that she injured.,12.925549,ACC,obj,1st-plr,that,1,1
53,It is [MASK] that she hurt.,11.424926,ACC,obj,1st-plr,that,1,1
54,It is [MASK] that she hit.,8.382532,ACC,obj,1st-plr,that,1,1
55,It is [MASK] that she heard.,11.836265,ACC,obj,1st-plr,that,1,1
56,It is [MASK] that she hates.,8.147705,ACC,obj,1st-plr,that,1,1
57,It is [MASK] that she greeted.,7.450824,ACC,obj,1st-plr,that,1,1
58,It is [MASK] that she found.,8.565044,ACC,obj,1st-plr,that,1,1
59,It is [MASK] that she feared.,7.113661,ACC,obj,1st-plr,that,1,1
60,It is [MASK] that she drew.,8.952933,ACC,obj,1st-plr,that,1,1
61,It is [MASK] that she called.,13.193451,ACC,obj,1st-plr,that,1,1
62,It is [MASK] that she avoided.,9.355832,ACC,obj,1st-plr,that,1,1
63,It is [MASK] that she advised.,7.9308743,ACC,obj,1st-plr,that,1,1
64,It is [MASK] that she admired.,9.143005,ACC,obj,1st-plr,that,1,1
65,It was [MASK] that she wanted.,4.1749444,ACC,obj,1st-sing,that,1,1
66,It was [MASK] that she valued.,7.0143323,ACC,obj,1st-sing,that,1,1
67,It was [MASK] that she trusted.,6.840544,ACC,obj,1st-sing,that,1,1
68,It was [MASK] that she told.,3.558289,ACC,obj,1st-sing,that,1,1
69,It was [MASK] that she taught.,4.8365912,ACC,obj,1st-sing,that,1,1
70,It was [MASK] that she stroke.,8.253651,ACC,obj,1st-sing,that,1,1
71,It was [MASK] that she sent.,3.1942232,ACC,obj,1st-sing,that,1,1
72,It was [MASK] that she saw.,5.411152,ACC,obj,1st-sing,that,1,1
73,It was [MASK] that she respected.,6.1839747,ACC,obj,1st-sing,that,1,1
74,It was [MASK] that she pushed.,4.479729,ACC,obj,1st-sing,that,1,1
