sen,sur,comp
It is [MASK] who admired her.,11.242522,who
It is [MASK] who admired her.,5.657167,who
It is [MASK] who admired her.,10.354224,who
It is [MASK] who admired her.,6.0335937,who
It is [MASK] who admired her.,7.626933,who
It is [MASK] who admired her.,17.80567,who
It is [MASK] who admired her.,6.667125,who
It is [MASK] who admired her.,1.164206,who
It is [MASK] who admired him.,6.550986,who
It is [MASK] who admired him.,1.780572,who
It is [MASK] who advised her.,10.459705,who
It is [MASK] who advised her.,5.4485292,who
It is [MASK] who advised her.,11.26384,who
It is [MASK] who advised her.,5.8327584,who
It is [MASK] who advised her.,8.752612,who
It is [MASK] who advised her.,15.571303,who
It is [MASK] who advised her.,8.638606,who
It is [MASK] who advised her.,1.2459468,who
It is [MASK] who advised him.,6.2465043,who
It is [MASK] who advised him.,2.3320098,who
It is [MASK] who avoided her.,10.578017,who
It is [MASK] who avoided her.,5.402455,who
It is [MASK] who avoided her.,9.838977,who
It is [MASK] who avoided her.,5.7041526,who
It is [MASK] who avoided her.,7.658395,who
It is [MASK] who avoided her.,17.144365,who
It is [MASK] who avoided her.,6.3785915,who
It is [MASK] who avoided her.,1.2508681,who
It is [MASK] who avoided him.,6.457842,who
It is [MASK] who avoided him.,2.0182157,who
It is [MASK] who called her.,10.543425,who
It is [MASK] who called her.,4.1354437,who
It is [MASK] who called her.,10.278003,who
It is [MASK] who called her.,5.2767873,who
It is [MASK] who called her.,8.887507,who
It is [MASK] who called her.,14.941122,who
It is [MASK] who called her.,8.287623,who
It is [MASK] who called her.,2.0159135,who
It is [MASK] who called him.,5.835408,who
It is [MASK] who called him.,2.2914457,who
It is [MASK] who drew her.,11.473428,who
It is [MASK] who drew her.,5.104574,who
It is [MASK] who drew her.,11.296362,who
It is [MASK] who drew her.,6.061218,who
It is [MASK] who drew her.,8.366966,who
It is [MASK] who drew her.,17.000559,who
It is [MASK] who drew her.,7.5243516,who
It is [MASK] who drew her.,1.1875722,who
It is [MASK] who drew him.,5.5115747,who
It is [MASK] who drew him.,1.5193636,who
It is [MASK] who feared her.,10.391587,who
It is [MASK] who feared her.,6.0799007,who
It is [MASK] who feared her.,7.9628515,who
It is [MASK] who feared her.,6.002951,who
It is [MASK] who feared her.,6.9653068,who
It is [MASK] who feared her.,18.083492,who
It is [MASK] who feared her.,4.0694604,who
It is [MASK] who feared her.,1.2286067,who
It is [MASK] who feared him.,6.7350264,who
It is [MASK] who feared him.,2.2311559,who
It is [MASK] who found her.,7.9334645,who
It is [MASK] who found her.,4.5760374,who
It is [MASK] who found her.,8.055872,who
It is [MASK] who found her.,5.315445,who
It is [MASK] who found her.,6.330374,who
It is [MASK] who found her.,16.363516,who
