sen,sur,gap
It was [MASK] that wanted her.,10.185343,subj
It was [MASK] that valued her.,9.623769,subj
It was [MASK] that trusted her.,8.353685,subj
It was [MASK] that told her.,11.204593,subj
It was [MASK] that taught her.,9.162863,subj
It was [MASK] that stroke her.,12.935173,subj
It was [MASK] that sent her.,9.953001,subj
It was [MASK] that saw her.,9.137437,subj
It was [MASK] that respected her.,8.833357,subj
It was [MASK] that pushed her.,10.695332,subj
It was [MASK] that pulled her.,11.242131,subj
It was [MASK] that pressed her.,12.677736,subj
It was [MASK] that praised her.,10.087206,subj
It was [MASK] that painted her.,10.756391,subj
It was [MASK] that noticed her.,10.436035,subj
It was [MASK] that needed her.,7.0588584,subj
It was [MASK] that missed her.,8.279871,subj
It was [MASK] that love her.,7.4062085,subj
It was [MASK] that like her.,16.20486,subj
It was [MASK] that injured her.,11.01874,subj
It was [MASK] that hurt her.,10.935514,subj
It was [MASK] that hit her.,10.865098,subj
It was [MASK] that heard her.,9.842739,subj
It was [MASK] that hate her.,8.50796,subj
It was [MASK] that greeted her.,12.355873,subj
It was [MASK] that found her.,9.624644,subj
It was [MASK] that feared her.,9.572054,subj
It was [MASK] that drew her.,12.8343115,subj
It was [MASK] that called her.,9.753508,subj
It was [MASK] that avoided her.,8.209048,subj
It was [MASK] that advised her.,10.909344,subj
It was [MASK] that admired her.,11.237424,subj
It is [MASK] that wanted her.,7.248701,subj
It is [MASK] that valued her.,7.227688,subj
It is [MASK] that trusted her.,6.488405,subj
It is [MASK] that told her.,9.623838,subj
It is [MASK] that taught her.,7.5715914,subj
It is [MASK] that stroke her.,10.739585,subj
It is [MASK] that sent her.,7.601982,subj
It is [MASK] that saw her.,6.5977616,subj
It is [MASK] that respected her.,6.762957,subj
It is [MASK] that pushed her.,7.8125887,subj
It is [MASK] that pulled her.,8.572454,subj
It is [MASK] that pressed her.,11.866315,subj
It is [MASK] that praised her.,8.823345,subj
It is [MASK] that painted her.,7.9940057,subj
It is [MASK] that noticed her.,8.729138,subj
It is [MASK] that needed her.,5.711776,subj
It is [MASK] that missed her.,7.9091897,subj
It is [MASK] that love her.,6.602009,subj
It is [MASK] that like her.,14.757631,subj
It is [MASK] that injured her.,8.6496105,subj
It is [MASK] that hurt her.,8.522377,subj
It is [MASK] that hit her.,10.605125,subj
