idx,sen,comp,sur,case,order.case
1,It is us [MASK] she sent.,that,13.132316,ACC,1
2,It was us [MASK] she sent.,that,12.064815,ACC,1
3,It is us [MASK] she pressed.,that,11.845816,ACC,1
4,It was us [MASK] she advised.,that,11.337655,ACC,1
5,It is us [MASK] she advised.,that,10.410546,ACC,1
6,It is us [MASK] she greeted.,that,9.216242,ACC,1
7,It was us [MASK] stroke her.,that,8.956758,ACC,1
8,It was us [MASK] like her.,that,8.641216,ACC,1
9,It is us [MASK] she told.,that,8.071856,ACC,1
10,It is us [MASK] she called.,that,7.764546,ACC,1
11,It is us [MASK] she pushed.,that,7.736231,ACC,1
12,It was us [MASK] she pressed.,that,7.55432,ACC,1
13,It is us [MASK] she heard.,that,6.25652,ACC,1
14,It was us [MASK] love her.,that,6.028326,ACC,1
15,It was us [MASK] she told.,that,5.8777184,ACC,1
16,It is us [MASK] she noticed.,that,5.6245217,ACC,1
17,It is us [MASK] stroke her.,that,5.321554,ACC,1
18,It is us [MASK] like her.,that,4.90025,ACC,1
19,It was us [MASK] hate her.,that,4.775491,ACC,1
20,It is us [MASK] she feared.,that,4.7313895,ACC,1
21,It is us [MASK] she praised.,that,3.9925356,ACC,1
22,It was us [MASK] she called.,that,3.7392263,ACC,1
23,It is us [MASK] she drew.,that,2.537145,ACC,1
24,It is us [MASK] she stroke.,that,2.4293675,ACC,1
25,It was us [MASK] greeted her.,that,2.4177186,ACC,1
26,It is us [MASK] she pulled.,that,2.417236,ACC,1
27,It was us [MASK] praised her.,that,2.3942475,ACC,1
28,It is us [MASK] called her.,that,2.3932812,ACC,1
29,It was us [MASK] admired her.,that,2.3059683,ACC,1
30,It was us [MASK] she heard.,that,2.2764266,ACC,1
31,It was us [MASK] she noticed.,that,2.2610533,ACC,1
32,It was us [MASK] she greeted.,that,2.2369401,ACC,1
33,It is us [MASK] admired her.,that,2.2286274,ACC,1
34,It is us [MASK] love her.,that,2.0560806,ACC,1
35,It is us [MASK] hate her.,that,1.9787023,ACC,1
36,It is us [MASK] she saw.,that,1.9516871,ACC,1
37,It was us [MASK] told her.,that,1.9392523,ACC,1
38,It was us [MASK] she praised.,that,1.8985109,ACC,1
39,It was us [MASK] feared her.,that,1.895997,ACC,1
40,It was us [MASK] respected her.,that,1.8889357,ACC,1
41,It was us [MASK] called her.,that,1.852018,ACC,1
42,It was us [MASK] she stroke.,that,1.7850887,ACC,1
43,It is us [MASK] respected her.,that,1.782932,ACC,1
44,It is us [MASK] feared her.,that,1.7661579,ACC,1
45,It is us [MASK] she admired.,that,1.7540916,ACC,1
46,It is us [MASK] painted her.,that,1.7470357,ACC,1
47,It is us [MASK] she painted.,that,1.6528833,ACC,1
48,It is us [MASK] taught her.,that,1.6482564,ACC,1
49,It was us [MASK] advised her.,that,1.6429362,ACC,1
50,It is us [MASK] told her.,that,1.6412593,ACC,1
51,It was us [MASK] trusted her.,that,1.6181706,ACC,1
52,It was us [MASK] she saw.,that,1.6077044,ACC,1
53,It was us [MASK] she pushed.,that,1.5413032,ACC,1
54,It is us [MASK] praised her.,that,1.5137632,ACC,1
55,It was us [MASK] taught her.,that,1.4948432,ACC,1
56,It was us [MASK] noticed her.,that,1.4748731,ACC,1
57,It is us [MASK] trusted her.,that,1.4675944,ACC,1
58,It was us [MASK] sent her.,that,1.4525925,ACC,1
59,It is us [MASK] sent her.,that,1.4423777,ACC,1
60,It is us [MASK] avoided her.,that,1.4193287,ACC,1
61,It is us [MASK] greeted her.,that,1.4043989,ACC,1
62,It was us [MASK] painted her.,that,1.404007,ACC,1
63,It is us [MASK] advised her.,that,1.3986012,ACC,1
64,It is us [MASK] valued her.,that,1.3896773,ACC,1
65,It was us [MASK] saw her.,that,1.3826029,ACC,1
66,It is us [MASK] saw her.,that,1.3623781,ACC,1
67,It was us [MASK] valued her.,that,1.3606982,ACC,1
68,It is us [MASK] heard her.,that,1.3565786,ACC,1
69,It was us [MASK] heard her.,that,1.3476188,ACC,1
70,It is us [MASK] hurt her.,that,1.3293023,ACC,1
71,It is us [MASK] she taught.,that,1.2891688,ACC,1
72,It was us [MASK] avoided her.,that,1.2842091,ACC,1
73,It is us [MASK] noticed her.,that,1.2495589,ACC,1
74,It was us [MASK] needed her.,that,1.1787055,ACC,1
75,It is us [MASK] needed her.,that,1.1390499,ACC,1
76,It is us [MASK] wanted her.,that,1.1017463,ACC,1
77,It was us [MASK] pressed her.,that,1.0910919,ACC,1
78,It is us [MASK] missed her.,that,1.0813817,ACC,1
79,It was us [MASK] she feared.,that,1.0703759,ACC,1
80,It was us [MASK] wanted her.,that,1.0338115,ACC,1
81,It was us [MASK] pushed her.,that,0.9232646,ACC,1
82,It is us [MASK] found her.,that,0.9176094,ACC,1
83,It is us [MASK] injured her.,that,0.8441378,ACC,1
84,It was us [MASK] she hurt.,that,0.80823654,ACC,1
85,It was us [MASK] missed her.,that,0.80431074,ACC,1
86,It was us [MASK] found her.,that,0.7878066,ACC,1
87,It was us [MASK] injured her.,that,0.75919807,ACC,1
88,It is us [MASK] pressed her.,that,0.7542789,ACC,1
89,It is us [MASK] pushed her.,that,0.74452686,ACC,1
90,It was us [MASK] she pulled.,that,0.7358892,ACC,1
91,It is us [MASK] hit her.,that,0.69795775,ACC,1
92,It was us [MASK] hurt her.,that,0.65776527,ACC,1
93,It is us [MASK] she injured.,that,0.6215924,ACC,1
94,It was us [MASK] she injured.,that,0.5274776,ACC,1
95,It was us [MASK] she painted.,that,0.5095736,ACC,1
96,It was us [MASK] hit her.,that,0.5077946,ACC,1
97,It was us [MASK] she drew.,that,0.50314844,ACC,1
98,It was us [MASK] pulled her.,that,0.47401533,ACC,1
99,It is us [MASK] she hurt.,that,0.4304306,ACC,1
100,It is us [MASK] pulled her.,that,0.37898073,ACC,1
101,It was us [MASK] she found.,that,0.37435815,ACC,1
102,It was us [MASK] she taught.,that,0.37245944,ACC,1
103,It is us [MASK] she respected.,that,0.35183534,ACC,1
104,It is us [MASK] she hit.,that,0.34762457,ACC,1
105,It is us [MASK] drew her.,that,0.32423696,ACC,1
106,It is us [MASK] she trusted.,that,0.31617546,ACC,1
107,It is us [MASK] she found.,that,0.29722574,ACC,1
108,It was us [MASK] she hit.,that,0.28735515,ACC,1
109,It was us [MASK] she likes.,that,0.2524681,ACC,1
110,It was us [MASK] she admired.,that,0.20372675,ACC,1
111,It was us [MASK] drew her.,that,0.1708413,ACC,1
112,It was us [MASK] she hates.,that,0.16843422,ACC,1
113,It was us [MASK] she trusted.,that,0.16020705,ACC,1
114,It is us [MASK] she avoided.,that,0.15717588,ACC,1
115,It is us [MASK] she likes.,that,0.14011256,ACC,1
116,It is us [MASK] she hates.,that,0.13923988,ACC,1
117,It is us [MASK] she valued.,that,0.13843872,ACC,1
118,It is us [MASK] she missed.,that,0.13825604,ACC,1
119,It was us [MASK] she respected.,that,0.1217408,ACC,1
120,It was us [MASK] she loves.,that,0.09966438,ACC,1
121,It was us [MASK] she missed.,that,0.0942174,ACC,1
122,It is us [MASK] she loves.,that,0.093303874,ACC,1
123,It is us [MASK] she wanted.,that,0.0860427,ACC,1
124,It was us [MASK] she avoided.,that,0.08473623,ACC,1
125,It is us [MASK] she needed.,that,0.058291998,ACC,1
126,It was us [MASK] she valued.,that,0.038858045,ACC,1
127,It was us [MASK] she wanted.,that,0.026737062,ACC,1
128,It was us [MASK] she needed.,that,0.012280775,ACC,1
129,It is us [MASK] she sent.,who,18.008554,ACC,1
130,It was us [MASK] she sent.,who,16.913427,ACC,1
131,It is us [MASK] she pressed.,who,16.387596,ACC,1
132,It was us [MASK] she advised.,who,15.711301,ACC,1
133,It is us [MASK] she advised.,who,15.247281,ACC,1
134,It is us [MASK] she told.,who,13.680853,ACC,1
135,It is us [MASK] she pushed.,who,13.363682,ACC,1
136,It is us [MASK] she greeted.,who,13.113029,ACC,1
