sen,sur,gap
It was [MASK] that she wanted.,10.646385,obj
It was [MASK] that she valued.,13.2144375,obj
It was [MASK] that she trusted.,11.899187,obj
It was [MASK] that she told.,9.413892,obj
It was [MASK] that she taught.,8.684893,obj
It was [MASK] that she stroke.,13.442484,obj
It was [MASK] that she sent.,9.303399,obj
It was [MASK] that she saw.,10.757692,obj
It was [MASK] that she respected.,11.411529,obj
It was [MASK] that she pushed.,11.16426,obj
It was [MASK] that she pulled.,10.515941,obj
It was [MASK] that she pressed.,13.434797,obj
It was [MASK] that she praised.,9.9014225,obj
It was [MASK] that she painted.,8.253448,obj
It was [MASK] that she noticed.,13.038389,obj
It was [MASK] that she needed.,11.412467,obj
It was [MASK] that she missed.,11.809684,obj
It was [MASK] that she loves.,7.0606203,obj
It was [MASK] that she likes.,9.10011,obj
It was [MASK] that she injured.,10.217843,obj
It was [MASK] that she hurt.,13.400665,obj
It was [MASK] that she hit.,8.565784,obj
It was [MASK] that she heard.,12.131666,obj
It was [MASK] that she hates.,7.0990043,obj
It was [MASK] that she greeted.,8.697861,obj
It was [MASK] that she found.,11.187616,obj
It was [MASK] that she feared.,11.1602745,obj
It was [MASK] that she drew.,10.249722,obj
It was [MASK] that she called.,13.9101515,obj
It was [MASK] that she avoided.,11.63286,obj
It was [MASK] that she advised.,8.81151,obj
It was [MASK] that she admired.,12.576469,obj
It is [MASK] that she wanted.,7.9290643,obj
It is [MASK] that she valued.,9.472766,obj
It is [MASK] that she trusted.,7.9453845,obj
It is [MASK] that she told.,8.867554,obj
It is [MASK] that she taught.,7.638094,obj
It is [MASK] that she stroke.,11.697267,obj
It is [MASK] that she sent.,6.977671,obj
It is [MASK] that she saw.,8.666332,obj
It is [MASK] that she respected.,8.289633,obj
It is [MASK] that she pushed.,9.8310175,obj
It is [MASK] that she pulled.,9.317778,obj
It is [MASK] that she pressed.,12.09975,obj
It is [MASK] that she praised.,9.154148,obj
It is [MASK] that she painted.,9.316274,obj
It is [MASK] that she noticed.,13.799293,obj
It is [MASK] that she needed.,8.430188,obj
It is [MASK] that she missed.,9.909613,obj
It is [MASK] that she loves.,7.6916113,obj
It is [MASK] that she likes.,9.982228,obj
It is [MASK] that she injured.,12.925549,obj
It is [MASK] that she hurt.,11.424926,obj
It is [MASK] that she hit.,8.382532,obj
It is [MASK] that she heard.,11.836265,obj
It is [MASK] that she hates.,8.147705,obj
It is [MASK] that she greeted.,7.450824,obj
It is [MASK] that she found.,8.565044,obj
It is [MASK] that she feared.,7.113661,obj
It is [MASK] that she drew.,8.952933,obj
It is [MASK] that she called.,13.193451,obj
It is [MASK] that she avoided.,9.355832,obj
It is [MASK] that she advised.,7.9308743,obj
It is [MASK] that she admired.,9.143005,obj
It was [MASK] that she wanted.,4.1749444,obj
It was [MASK] that she valued.,7.0143323,obj
It was [MASK] that she trusted.,6.840544,obj
It was [MASK] that she told.,3.558289,obj
It was [MASK] that she taught.,4.8365912,obj
It was [MASK] that she stroke.,8.253651,obj
It was [MASK] that she sent.,3.1942232,obj
It was [MASK] that she saw.,5.411152,obj
It was [MASK] that she respected.,6.1839747,obj
It was [MASK] that she pushed.,4.479729,obj
It was [MASK] that she pulled.,3.8456144,obj
It was [MASK] that she pressed.,7.2746124,obj
It was [MASK] that she praised.,3.7444518,obj
It was [MASK] that she painted.,3.8873928,obj
It was [MASK] that she noticed.,6.7827086,obj
It was [MASK] that she needed.,5.6279335,obj
It was [MASK] that she missed.,5.747847,obj
It was [MASK] that she loves.,2.3753312,obj
It was [MASK] that she likes.,2.9921954,obj
It was [MASK] that she injured.,4.851477,obj
It was [MASK] that she hurt.,7.7504845,obj
It was [MASK] that she hit.,3.7991538,obj
It was [MASK] that she heard.,6.229342,obj
It was [MASK] that she hates.,1.8094034,obj
It was [MASK] that she greeted.,3.5631557,obj
It was [MASK] that she found.,6.70063,obj
It was [MASK] that she feared.,6.107158,obj
It was [MASK] that she drew.,4.8535137,obj
It was [MASK] that she called.,8.314929,obj
It was [MASK] that she avoided.,5.992464,obj
It was [MASK] that she advised.,2.6621022,obj
It was [MASK] that she admired.,6.2994895,obj
It is [MASK] that she wanted.,2.8946726,obj
It is [MASK] that she valued.,4.6659274,obj
It is [MASK] that she trusted.,3.7756503,obj
It is [MASK] that she told.,4.6940475,obj
It is [MASK] that she taught.,4.3470926,obj
It is [MASK] that she stroke.,6.9766564,obj
It is [MASK] that she sent.,1.7965969,obj
It is [MASK] that she saw.,4.514027,obj
It is [MASK] that she respected.,3.8240554,obj
It is [MASK] that she pushed.,4.563174,obj
It is [MASK] that she pulled.,4.2849817,obj
It is [MASK] that she pressed.,7.1972847,obj
It is [MASK] that she praised.,5.317024,obj
It is [MASK] that she painted.,7.5151052,obj
It is [MASK] that she noticed.,8.959895,obj
It is [MASK] that she needed.,3.9375787,obj
It is [MASK] that she missed.,4.8267937,obj
It is [MASK] that she loves.,3.3942232,obj
It is [MASK] that she likes.,3.8892002,obj
It is [MASK] that she injured.,10.3023405,obj
It is [MASK] that she hurt.,6.818307,obj
It is [MASK] that she hit.,4.326324,obj
It is [MASK] that she heard.,7.887234,obj
It is [MASK] that she hates.,2.7817118,obj
It is [MASK] that she greeted.,2.7738912,obj
It is [MASK] that she found.,5.602371,obj
It is [MASK] that she feared.,2.9975262,obj
It is [MASK] that she drew.,4.2667737,obj
It is [MASK] that she called.,8.82034,obj
It is [MASK] that she avoided.,5.113446,obj
It is [MASK] that she advised.,3.788304,obj
It is [MASK] that she admired.,4.005437,obj
It was [MASK] that she wanted.,8.881943,obj
It was [MASK] that she valued.,8.279991,obj
It was [MASK] that she trusted.,7.348903,obj
It was [MASK] that she told.,6.3067265,obj
It was [MASK] that she taught.,6.6211047,obj
It was [MASK] that she stroke.,9.361931,obj
It was [MASK] that she sent.,6.597083,obj
It was [MASK] that she saw.,6.550666,obj
It was [MASK] that she respected.,7.3682966,obj
It was [MASK] that she pushed.,8.368611,obj
It was [MASK] that she pulled.,8.310602,obj
It was [MASK] that she pressed.,10.482342,obj
It was [MASK] that she praised.,6.648385,obj
It was [MASK] that she painted.,6.5039787,obj
It was [MASK] that she noticed.,9.327206,obj
It was [MASK] that she needed.,9.642601,obj
It was [MASK] that she missed.,7.8783455,obj
It was [MASK] that she loves.,7.769505,obj
It was [MASK] that she likes.,8.704733,obj
It was [MASK] that she injured.,7.2409277,obj
It was [MASK] that she hurt.,10.42583,obj
It was [MASK] that she hit.,6.579567,obj
It was [MASK] that she heard.,7.587373,obj
It was [MASK] that she hates.,7.689025,obj
It was [MASK] that she greeted.,7.413848,obj
It was [MASK] that she found.,6.7114277,obj
It was [MASK] that she feared.,6.5665965,obj
It was [MASK] that she drew.,7.7274065,obj
It was [MASK] that she called.,11.315426,obj
It was [MASK] that she avoided.,7.6969347,obj
It was [MASK] that she advised.,6.2327766,obj
It was [MASK] that she admired.,7.5190306,obj
It is [MASK] that she wanted.,8.380672,obj
It is [MASK] that she valued.,7.839628,obj
It is [MASK] that she trusted.,6.7296906,obj
It is [MASK] that she told.,7.889306,obj
It is [MASK] that she taught.,7.6373296,obj
It is [MASK] that she stroke.,9.152413,obj
It is [MASK] that she sent.,7.3036346,obj
It is [MASK] that she saw.,7.4109163,obj
It is [MASK] that she respected.,6.8596373,obj
It is [MASK] that she pushed.,8.997731,obj
It is [MASK] that she pulled.,8.097204,obj
It is [MASK] that she pressed.,10.642355,obj
It is [MASK] that she praised.,7.0345993,obj
It is [MASK] that she painted.,9.4372635,obj
It is [MASK] that she noticed.,11.794426,obj
It is [MASK] that she needed.,9.279505,obj
It is [MASK] that she missed.,8.153163,obj
It is [MASK] that she loves.,7.1662135,obj
It is [MASK] that she likes.,8.659527,obj
It is [MASK] that she injured.,11.206365,obj
It is [MASK] that she hurt.,9.549785,obj
It is [MASK] that she hit.,7.098721,obj
It is [MASK] that she heard.,10.016829,obj
It is [MASK] that she hates.,7.0095544,obj
It is [MASK] that she greeted.,7.422651,obj
It is [MASK] that she found.,7.1639647,obj
It is [MASK] that she feared.,6.6419992,obj
It is [MASK] that she drew.,7.749156,obj
It is [MASK] that she called.,11.383409,obj
It is [MASK] that she avoided.,7.9291635,obj
It is [MASK] that she advised.,7.2983127,obj
It is [MASK] that she admired.,7.249606,obj
It was [MASK] that he wanted.,2.0783975,obj
It was [MASK] that he valued.,2.627181,obj
It was [MASK] that he trusted.,3.2755399,obj
It was [MASK] that he told.,4.25922,obj
It was [MASK] that he taught.,5.738749,obj
It was [MASK] that he stroke.,6.4100876,obj
It was [MASK] that he sent.,2.9336507,obj
It was [MASK] that he saw.,2.7247813,obj
It was [MASK] that he respected.,2.7185123,obj
It was [MASK] that he pushed.,4.1154876,obj
It was [MASK] that he pulled.,3.615655,obj
It was [MASK] that he pressed.,5.455497,obj
It was [MASK] that he praised.,2.8405645,obj
It was [MASK] that he painted.,4.1671257,obj
It was [MASK] that he noticed.,4.7304296,obj
It was [MASK] that he needed.,3.928877,obj
It was [MASK] that he missed.,2.6972122,obj
It was [MASK] that he loves.,2.5577753,obj
It was [MASK] that he likes.,4.571499,obj
It was [MASK] that he injured.,4.0197263,obj
It was [MASK] that he hurt.,5.138485,obj
It was [MASK] that he hit.,3.2062912,obj
It was [MASK] that he heard.,3.7139308,obj
It was [MASK] that he hates.,4.0663285,obj
It was [MASK] that he greeted.,2.8859353,obj
It was [MASK] that he found.,4.2506866,obj
It was [MASK] that he feared.,2.179289,obj
It was [MASK] that he drew.,4.717786,obj
It was [MASK] that he called.,6.4970374,obj
It was [MASK] that he avoided.,5.2058887,obj
It was [MASK] that he advised.,3.470586,obj
It was [MASK] that he admired.,2.2600033,obj
It is [MASK] that he wanted.,3.8384316,obj
It is [MASK] that he valued.,4.808812,obj
It is [MASK] that he trusted.,4.144735,obj
It is [MASK] that he told.,6.360294,obj
It is [MASK] that he taught.,7.75719,obj
It is [MASK] that he stroke.,7.535895,obj
It is [MASK] that he sent.,4.4567013,obj
It is [MASK] that he saw.,4.678795,obj
It is [MASK] that he respected.,4.5618215,obj
It is [MASK] that he pushed.,6.451058,obj
It is [MASK] that he pulled.,5.2167897,obj
It is [MASK] that he pressed.,7.7406034,obj
