sen,sur,comp
It is [MASK] that admired her.,9.343739,that
It is [MASK] that admired her.,3.3829882,that
It is [MASK] that admired her.,7.7357516,that
It is [MASK] that admired her.,4.027828,that
It is [MASK] that admired her.,8.196317,that
It is [MASK] that admired her.,17.621727,that
It is [MASK] that admired her.,6.8095217,that
It is [MASK] that admired her.,2.1470947,that
It is [MASK] that admired him.,5.016919,that
It is [MASK] that admired him.,2.9766283,that
It is [MASK] that advised her.,8.94635,that
It is [MASK] that advised her.,4.172038,that
It is [MASK] that advised her.,8.817772,that
It is [MASK] that advised her.,5.368284,that
It is [MASK] that advised her.,7.8155193,that
It is [MASK] that advised her.,15.714905,that
It is [MASK] that advised her.,7.3046694,that
It is [MASK] that advised her.,2.3297262,that
It is [MASK] that advised him.,6.0009966,that
It is [MASK] that advised him.,3.5168536,that
It is [MASK] that avoided her.,6.584148,that
It is [MASK] that avoided her.,3.582809,that
It is [MASK] that avoided her.,6.092777,that
It is [MASK] that avoided her.,4.872296,that
It is [MASK] that avoided her.,5.632113,that
It is [MASK] that avoided her.,16.758293,that
It is [MASK] that avoided her.,4.7816496,that
It is [MASK] that avoided her.,2.619735,that
It is [MASK] that avoided him.,6.1855807,that
It is [MASK] that avoided him.,3.9904099,that
It is [MASK] that called her.,7.865249,that
It is [MASK] that called her.,3.4934583,that
It is [MASK] that called her.,6.594776,that
It is [MASK] that called her.,4.1921997,that
It is [MASK] that called her.,8.023057,that
It is [MASK] that called her.,14.696898,that
It is [MASK] that called her.,6.5007668,that
It is [MASK] that called her.,3.542388,that
It is [MASK] that called him.,5.118438,that
It is [MASK] that called him.,4.172887,that
It is [MASK] that drew her.,9.892651,that
It is [MASK] that drew her.,4.089217,that
It is [MASK] that drew her.,7.698862,that
It is [MASK] that drew her.,3.5959854,that
It is [MASK] that drew her.,11.40144,that
It is [MASK] that drew her.,15.562555,that
It is [MASK] that drew her.,9.110715,that
It is [MASK] that drew her.,4.3542075,that
It is [MASK] that drew him.,3.4276674,that
It is [MASK] that drew him.,4.3743877,that
It is [MASK] that feared her.,6.526464,that
It is [MASK] that feared her.,3.084303,that
It is [MASK] that feared her.,4.5819654,that
It is [MASK] that feared her.,4.795355,that
